product_number,formula_code,product_name,product_form,unit_weight,pallet_quantity,stocking_status,min_order_quantity,days_lead_time,fob_or_dlv,price_change,list_price,full_pallet_price,half_load_full_pallet_price,full_load_full_pallet_price,full_load_best_price,plant_location,date_inserted,source
,,,,,,,,,Price in US Dollars,,,,,,,HUDSON'S,2024-10-07,pdf
5554,5D02,AQUAMAX FRY STARTER 200,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,101.66,101.26,101.01,100.76,97.74,HUDSON'S,2024-10-07,pdf
1466,5D04,AQUAMAX GROWER 400,EXTRUDED,50.00 LB,40,MO,0,17,DLV,0.0,64.71,64.31,64.06,63.81,61.9,HUDSON'S,2024-10-07,pdf
1470,5D09,AQUAMAX POND FISH 4000,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,40.09,39.69,39.44,39.19,38.01,HUDSON'S,2024-10-07,pdf
45303,5D05,AQUAMAX SPORTFISH 500,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,51.09,50.69,50.44,50.19,48.68,HUDSON'S,2024-10-07,pdf
1468,5D06,AQUAMAX SPORTFISH 600,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,51.09,50.69,50.44,50.19,48.68,HUDSON'S,2024-10-07,pdf
3003410-706,5D6R,AQUAMAX SPORTFISH MVP,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,51.66,51.26,51.01,50.76,49.24,HUDSON'S,2024-10-07,pdf
1363,52C1,GAME FISH CHOW,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,34.59,34.19,33.94,33.69,32.68,HUDSON'S,2024-10-07,pdf
40967,51J2,PURINA CATFISH 32,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,32.06,31.66,31.41,31.16,30.23,HUDSON'S,2024-10-07,pdf
3003995-634,329T,AR BLOCK HI-FAT 200LB PLASTIC,LIQUID,200.00 LB,10,FX,0,5,DLV,0.0,117.85,117.45,116.45,115.45,111.99,HUDSON'S,2024-10-07,pdf
49132,30VY,PUR 30 PROTEIN HI ENRG CTL TUB,LIQUID,60.00 LB,30,FX,0,5,DLV,0.0,49.8,49.4,49.1,48.8,47.34,HUDSON'S,2024-10-07,pdf
1800048-633,L3B3,RL 30-13 TUB 225LB,LIQUID,225.00 LB,8,FX,0,5,DLV,0.0,141.42,141.02,139.89,138.76,134.6,HUDSON'S,2024-10-07,pdf
18156,32MW,W+R AS 4 MN TB 125LB,LIQUID,125.00 LB,16,FX,0,5,DLV,0.0,87.37,86.97,86.34,85.71,83.14,HUDSON'S,2024-10-07,pdf
62709,32JP,W+R AS 4 MN TB AVL4 225LB,LIQUID,225.00 LB,8,FX,0,5,DLV,0.0,168.76,168.36,167.23,166.1,161.12,HUDSON'S,2024-10-07,pdf
41033,307Q,W+R MAG MIN TUB 225LB,LIQUID,225.00 LB,8,FX,0,5,DLV,0.0,151.55,151.15,150.02,148.89,144.42,HUDSON'S,2024-10-07,pdf
3005041-633,32SZ,W+R MIN MAG TUB ALTOSID 225LB,LIQUID,225.00 LB,8,FX,0,5,DLV,0.0,175.85,175.45,174.32,173.19,167.99,HUDSON'S,2024-10-07,pdf
3010015-106,380N,W+R SF AS 4 CP,GRANULES,50.00 LB,40,FX,0,5,DLV,0.0,26.09,25.69,25.44,25.19,24.43,HUDSON'S,2024-10-07,pdf
3010016-106,380P,W+R SF AS 4 CP ALTOSID,GRANULES,50.00 LB,40,FX,0,5,DLV,0.0,31.81,31.41,31.16,30.91,29.98,HUDSON'S,2024-10-07,pdf
3010035-106,381H,W+R SF AS 7.5 CP,GRANULES,50.00 LB,40,MO,80,10,DLV,0.0,30.46,30.06,29.81,29.56,28.67,HUDSON'S,2024-10-07,pdf
3010036-106,381J,W+R SF AS 7.5 CP ALTOSID,GRANULES,50.00 LB,40,MO,0,5,DLV,0.0,36.66,36.26,36.01,35.76,34.69,HUDSON'S,2024-10-07,pdf
3010063-106,382L,W+R SF HMG 4 CP,GRANULES,50.00 LB,40,FX,0,5,DLV,0.0,27.71,27.31,27.06,26.81,26.01,HUDSON'S,2024-10-07,pdf
3010064-106,382M,W+R SF HMG 4 CP ALTOSID,GRANULES,50.00 LB,40,FX,0,5,DLV,0.0,33.69,33.29,33.04,32.79,31.81,HUDSON'S,2024-10-07,pdf
3006242-206,376H,PRECON COMPLETE DX 00187,PELLETS,50.00 LB,40,FX,0,5,DLV,0.35,17.96,17.56,17.31,17.06,16.55,HUDSON'S,2024-10-07,pdf
47700,30VE,4SQ STK/GR 14 TEXTURED,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.2,14.09,13.69,13.44,13.19,12.79,HUDSON'S,2024-10-07,pdf
51032,30T9,PURINA HI-ENERGY 20 AN CUBE,CUBED,50.00 LB,40,FX,0,5,DLV,0.15,15.81,15.41,15.16,14.91,14.46,HUDSON'S,2024-10-07,pdf
46928,30PX,RH 20 CUBE 3/4-7/8,CUBED,50.00 LB,40,FX,0,5,DLV,0.35,14.29,13.89,13.64,13.39,12.99,HUDSON'S,2024-10-07,pdf
3003809-206,551V,PURINA DELTA LMB+EWE BRDR DX3,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,16.51,16.11,15.86,15.61,15.14,HUDSON'S,2024-10-07,pdf
3002405-206,36QE,PURINA LAMB GROWER,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,15.91,15.51,15.26,15.01,14.56,HUDSON'S,2024-10-07,pdf
3005608-106,557G,PURINA SHEEP MINERAL,MEAL,50.00 LB,40,FX,0,5,DLV,0.0,27.89,27.49,27.24,26.99,26.18,HUDSON'S,2024-10-07,pdf
3009702-506,3H22,CA ALL STOCK SWEET TX 10 50LB,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.42,10.06,9.66,9.41,9.16,8.89,HUDSON'S,2024-10-07,pdf
3009503-506,3H1M,CA ALL STOCK SWEET TX 12,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.4,10.96,10.56,10.31,10.06,9.76,HUDSON'S,2024-10-07,pdf
3005413-206,528M,ANTLER ADVAN DEER 20 ARS 50LB,PELLETS,50.00 LB,40,FS,0,5,DLV,0.38,14.94,14.54,14.29,14.04,13.62,HUDSON'S,2024-10-07,pdf
3007582-206,525N,ANTLERMAX DEER 20 CG LG,PELLETS,50.00 LB,40,FX,0,5,DLV,0.38,16.84,16.44,16.19,15.94,15.46,HUDSON'S,2024-10-07,pdf
3004575-604,520N,ANTLERMAX DEER BLOCK CL GD,BLOCKS,33.30 LB,60,FX,0,5,DLV,0.25,16.07,15.67,15.5,15.33,14.87,HUDSON'S,2024-10-07,pdf
3007572-206,525C,ANTLERMAX WTRSHLD DEER 20 CGL,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,18.26,17.86,17.61,17.36,16.84,HUDSON'S,2024-10-07,pdf
3003250-612,548A,PREMIUM DEER BLOCK,BLOCKS,20.00 LB,100,FX,0,5,DLV,0.15,11.65,11.25,11.15,11.05,10.72,HUDSON'S,2024-10-07,pdf
3003784-612,59MR,QUICKDRAW DEER BLK 20LB,BLOCKS,20.00 LB,100,FX,0,5,DLV,0.15,12.25,11.85,11.75,11.65,11.3,HUDSON'S,2024-10-07,pdf
